episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,mean_wg,median_wg,max_wg,min_wg
380,68598,-0.0288333333333,-11.6,-10.6,-10.0,-1.82018,-1.7675,-0.00891857,0.0180415,181,9.3505e-06,1.20724e-06,0.000124448,0.0
384,69322,-0.238566666667,-11.6,-10.3,-11.2,-1.932,-1.88008,-0.000691279,0.0181446,181,7.24613e-06,1.01158e-06,0.000119803,0.0
388,70046,-0.0069,-11.4,-10.7,-10.8,-1.84884,-1.82128,-0.00683003,0.0254273,181,9.28953e-06,1.3397e-06,0.000186813,0.0
392,70770,-0.0013,-11.2,-11.5,-11.3,-2.09236,-2.02042,-0.00891435,0.0269111,181,9.35258e-06,1.31074e-06,0.000132983,0.0
396,71494,-0.263,-11.1,-11.7,-13.2,-1.93333,-1.86611,-0.00344036,0.0150915,181,8.72903e-06,1.18837e-06,0.000147716,0.0
400,72218,-0.2829,-10.8,-12.2,-14.0,-1.94137,-1.85755,-0.003017,0.0159571,181,8.85735e-06,1.38093e-06,8.63379e-05,0.0
404,72942,-0.0008,-10.6,-11.8,-10.1,-1.6663,-1.62817,-0.00496688,0.0144064,181,6.1477e-06,8.5498e-07,0.000106687,0.0
408,73666,-0.0052,-11.1,-12.5,-14.7,-1.81768,-1.70795,-0.015581,0.0222183,181,6.10515e-06,9.08568e-07,7.76579e-05,0.0
412,74390,-0.0127,-10.7,-11.4,-12.5,-1.77058,-1.71818,-0.00781832,0.0181795,181,4.93739e-06,6.42414e-07,8.4225e-05,0.0
416,75114,-0.0005,-11.0,-11.7,-11.7,-1.96641,-1.89508,-0.017807,0.0323344,181,5.85412e-06,8.71847e-07,8.01846e-05,0.0
420,75838,-0.0047,-10.8,-11.6,-10.4,-1.72428,-1.67105,-0.00386364,0.0222815,181,7.97112e-06,1.08374e-06,0.000136159,0.0
424,76562,-0.0564666666667,-10.8,-11.4,-8.9,-1.71939,-1.69002,-0.00429273,0.0169348,181,5.81752e-06,8.02439e-07,0.000140039,0.0
428,77286,-0.0004,-10.8,-11.2,-6.3,-1.60943,-1.56852,-0.0108626,0.0208078,181,6.92316e-06,1.00173e-06,9.54725e-05,0.0
432,78010,-0.0218333333333,-11.2,-12.1,-14.3,-2.04479,-1.92275,-0.00784139,0.0287197,181,6.16895e-06,8.99989e-07,0.000106704,0.0
436,78734,-0.0217333333333,-11.3,-12.0,-15.0,-1.87439,-1.80397,-0.00719127,0.0160202,181,7.34983e-06,1.14381e-06,0.000104061,0.0
440,79458,-0.0158666666667,-11.4,-11.7,-12.6,-1.82163,-1.78459,-0.00136025,0.0119125,181,6.44617e-06,1.04264e-06,9.77366e-05,0.0
444,80182,-0.0248,-11.4,-11.4,-9.4,-2.05685,-1.99203,-0.0142195,0.0317598,181,1.19121e-05,1.83019e-06,0.000167086,0.0
448,80906,-0.0220333333333,-11.4,-11.0,-9.2,-1.92741,-1.89646,-0.00785946,0.0229315,181,1.03989e-05,1.35658e-06,0.000203187,0.0
452,81630,-0.008,-11.4,-10.5,-5.7,-1.66342,-1.64215,-0.0102011,0.0170394,181,5.89166e-06,8.20119e-07,8.79706e-05,0.0
456,82354,-0.0533666666667,-11.3,-10.4,-8.2,-2.02767,-1.9669,-0.0103785,0.0325952,181,3.86435e-06,6.69244e-07,6.45671e-05,0.0
460,83078,-0.003,-11.1,-9.6,-7.5,-1.79428,-1.759,-0.0128467,0.0239983,181,8.97505e-06,1.28728e-06,0.000149409,0.0
464,83802,-0.0036,-10.4,-9.3,-7.4,-1.88068,-1.85904,-0.00344031,0.0222013,181,8.15998e-06,1.13605e-06,0.000103864,0.0
468,84526,-0.0003,-10.3,-8.8,-6.1,-1.82018,-1.78772,-0.00159484,0.0177952,181,2.44069e-06,3.48274e-07,3.52622e-05,0.0
472,85250,-0.0007,-10.0,-8.6,-6.3,-1.49523,-1.46084,-0.0108236,0.0158897,181,5.82095e-06,7.55188e-07,9.41128e-05,0.0
476,85974,-0.0119666666667,-10.1,-8.8,-6.6,-1.65446,-1.61795,-0.00404143,0.0200428,181,5.31967e-06,7.763e-07,6.421e-05,0.0
480,86698,-0.0187666666667,-10.1,-8.6,-8.8,-1.87853,-1.81889,-0.0107382,0.0207972,181,4.37971e-06,6.35372e-07,7.43125e-05,0.0
484,87422,-0.0193666666667,-9.8,-7.6,-9.4,-1.61675,-1.59216,-0.00567192,0.0183753,181,3.93696e-06,5.98638e-07,5.91215e-05,0.0
